09:52:40.642 [main] INFO  com.sms.SportMgmtSysApplication - Starting SportMgmtSysApplication on Jared with PID 11532 (D:\ideaIU-2019.3.3\IdeaProject\sport_mgmt_sys\target\classes started by Administrator in D:\ideaIU-2019.3.3\IdeaProject\sport_mgmt_sys)
09:52:44.386 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
09:52:44.387 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
09:52:44.388 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
09:52:44.598 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
09:52:44.599 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3628 ms
09:52:46.802 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62ab5e63, org.springframework.security.web.context.SecurityContextPersistenceFilter@10a0d93a, org.springframework.security.web.header.HeaderWriterFilter@6cee903a, org.springframework.web.filter.CorsFilter@e91facf, org.springframework.security.web.authentication.logout.LogoutFilter@4e7eba9f, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2acca224, com.sms.usermgmt.security.filter.JWTAuthenticationTokenFilter@5e8f0f98, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4ab455e2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@66b31d46, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4768b95c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6bf0f70a, org.springframework.security.web.session.SessionManagementFilter@2c2aab92, org.springframework.security.web.access.ExceptionTranslationFilter@1308ef19, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1aaf46e6]
09:52:46.908 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
09:52:48.074 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
09:52:48.074 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
09:52:48.075 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
09:52:48.076 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
09:52:48.098 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
09:52:48.099 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
09:52:48.099 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
09:52:48.100 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
09:52:49.222 [main] INFO  o.s.d.e.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.9.RELEASE
09:52:49.223 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
09:52:49.223 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client used: 7.6.2
09:52:49.446 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
09:52:49.466 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
09:52:49.759 [main] INFO  com.sms.SportMgmtSysApplication - Started SportMgmtSysApplication in 10.563 seconds (JVM running for 21.825)
10:02:44.697 [main] INFO  com.sms.SportMgmtSysApplication - Starting SportMgmtSysApplication on Jared with PID 3180 (D:\ideaIU-2019.3.3\IdeaProject\sport_mgmt_sys\target\classes started by Administrator in D:\ideaIU-2019.3.3\IdeaProject\sport_mgmt_sys)
10:02:44.701 [main] INFO  com.sms.SportMgmtSysApplication - No active profile set, falling back to default profiles: default
10:02:46.833 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
10:02:46.835 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
10:02:46.885 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 45ms. Found 0 Elasticsearch repository interfaces.
10:02:46.894 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
10:02:46.895 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
10:02:46.917 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21ms. Found 0 Reactive Elasticsearch repository interfaces.
10:02:46.939 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
10:02:46.940 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
10:02:46.966 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 Redis repository interfaces.
10:02:47.548 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@2574a9e3' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:02:47.565 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:02:48.033 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
10:02:48.049 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
10:02:48.050 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:02:48.051 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
10:02:48.250 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:02:48.250 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3420 ms
10:02:50.041 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7a62d697, org.springframework.security.web.context.SecurityContextPersistenceFilter@dc8b2ff, org.springframework.security.web.header.HeaderWriterFilter@137a4b54, org.springframework.web.filter.CorsFilter@edbc2bf, org.springframework.security.web.authentication.logout.LogoutFilter@1530d0f2, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6533629, com.sms.usermgmt.security.filter.JWTAuthenticationTokenFilter@3e01796a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@70d687b8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@14201a90, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@51e94b7d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@62ab5e63, org.springframework.security.web.session.SessionManagementFilter@1acc873b, org.springframework.security.web.access.ExceptionTranslationFilter@6d617b07, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5d5574c7]
10:02:50.133 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
10:02:51.269 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
10:02:51.270 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
10:02:51.270 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
10:02:51.271 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
10:02:51.294 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
10:02:51.294 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
10:02:51.295 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
10:02:51.295 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
10:02:52.422 [main] INFO  o.s.d.e.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.9.RELEASE
10:02:52.424 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
10:02:52.424 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client used: 7.6.2
10:02:52.789 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
10:02:52.828 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
10:02:53.258 [main] INFO  com.sms.SportMgmtSysApplication - Started SportMgmtSysApplication in 10.076 seconds (JVM running for 20.357)
10:02:58.208 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:02:58.209 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:02:58.226 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 16 ms
10:02:58.313 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:58.500 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:58.501 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:58.527 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:58.532 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:58.546 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.086 [http-nio-8888-exec-7] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.102 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.131 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.141 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.151 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.159 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.168 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.175 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.185 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.193 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.200 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.208 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.215 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.238 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.244 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.253 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.261 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.272 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.280 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.290 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.306 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.307 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.316 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.330 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.344 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.345 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.356 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.367 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.382 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.496 [http-nio-8888-exec-7] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.513 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.533 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.553 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.569 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.581 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.588 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.598 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.616 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.630 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.641 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.652 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.668 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.677 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.695 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.701 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:02:59.711 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.916 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.925 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.931 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.935 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.944 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.948 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.955 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.960 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.966 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.976 [http-nio-8888-exec-7] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.982 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.989 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:01.995 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.001 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.005 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.010 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.015 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.020 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.025 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.029 [http-nio-8888-exec-7] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.036 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.044 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.049 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.054 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.059 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.063 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.069 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.074 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.081 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.086 [http-nio-8888-exec-7] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.091 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.096 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.102 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.108 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.113 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.118 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.124 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.130 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.136 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.144 [http-nio-8888-exec-7] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.150 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:02.156 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.742 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.751 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.760 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.765 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.770 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.775 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.779 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.784 [http-nio-8888-exec-7] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.788 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.793 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.798 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.804 [http-nio-8888-exec-1] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.807 [http-nio-8888-exec-10] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.811 [http-nio-8888-exec-2] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.818 [http-nio-8888-exec-3] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.823 [http-nio-8888-exec-5] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.828 [http-nio-8888-exec-4] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.835 [http-nio-8888-exec-7] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.840 [http-nio-8888-exec-6] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.848 [http-nio-8888-exec-8] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
10:03:07.852 [http-nio-8888-exec-9] INFO  c.s.u.s.f.JWTAuthenticationTokenFilter - tokenHeader:null
